iter	Passed	Remaining
603	1437	2132
604	1440	2130
605	1442	2127
606	1444	2125
607	1446	2122
608	1448	2119
609	1451	2117
610	1453	2114
611	1455	2112
612	1457	2109
613	1460	2106
614	1462	2104
615	1464	2101
616	1466	2099
617	1469	2096
618	1471	2094
619	1473	2091
620	1475	2089
621	1478	2086
622	1480	2083
623	1482	2081
624	1484	2078
625	1487	2076
626	1489	2074
627	1491	2071
628	1493	2068
629	1496	2065
630	1498	2063
631	1500	2061
632	1503	2058
633	1505	2056
634	1507	2053
635	1509	2050
636	1511	2048
637	1514	2045
638	1516	2043
639	1518	2040
640	1520	2038
641	1523	2035
642	1525	2033
643	1527	2030
644	1530	2028
645	1532	2025
646	1534	2023
647	1536	2020
648	1539	2018
649	1541	2015
650	1543	2013
651	1546	2010
652	1548	2008
653	1550	2005
654	1552	2003
655	1555	2000
656	1557	1998
657	1559	1996
658	1562	1993
659	1564	1990
660	1566	1988
661	1568	1985
662	1570	1983
663	1573	1980
664	1575	1977
665	1577	1975
666	1579	1972
667	1581	1970
668	1584	1967
669	1586	1965
670	1588	1962
671	1590	1960
672	1592	1957
673	1595	1954
674	1597	1952
675	1599	1949
676	1601	1947
677	1603	1944
678	1606	1942
679	1608	1939
680	1611	1937
681	1613	1935
682	1615	1932
683	1617	1930
684	1620	1927
685	1622	1924
686	1624	1922
687	1626	1919
688	1628	1917
689	1630	1914
690	1632	1911
691	1635	1909
692	1637	1906
693	1639	1904
694	1641	1901
695	1643	1898
696	1646	1896
697	1648	1894
698	1650	1891
699	1653	1889
700	1655	1887
701	1657	1884
702	1660	1881
703	1662	1879
704	1664	1876
705	1666	1874
706	1668	1871
707	1671	1869
708	1673	1866
709	1675	1864
710	1677	1861
711	1679	1859
712	1682	1857
713	1684	1854
714	1687	1852
715	1689	1850
716	1691	1847
717	1694	1845
718	1696	1842
719	1698	1840
720	1701	1837
721	1703	1835
722	1705	1833
723	1707	1830
724	1710	1828
725	1712	1825
726	1714	1823
727	1717	1821
728	1719	1818
729	1721	1815
730	1723	1813
731	1726	1810
732	1728	1808
733	1730	1806
734	1733	1803
735	1735	1801
736	1737	1799
737	1739	1796
738	1742	1794
739	1744	1791
740	1746	1789
741	1749	1786
742	1751	1784
743	1753	1781
744	1755	1779
745	1757	1776
746	1759	1774
747	1762	1771
748	1764	1769
749	1767	1767
750	1769	1764
751	1771	1762
752	1774	1759
753	1776	1757
754	1778	1755
755	1780	1752
756	1783	1750
757	1785	1747
758	1787	1745
759	1789	1742
760	1791	1739
761	1793	1737
762	1796	1734
763	1798	1732
764	1800	1729
765	1802	1727
766	1805	1725
767	1807	1722
768	1809	1720
769	1811	1717
770	1813	1715
771	1816	1712
772	1818	1710
773	1820	1707
774	1822	1705
775	1825	1702
776	1827	1700
777	1829	1698
778	1832	1695
779	1834	1693
780	1836	1690
781	1838	1688
782	1841	1686
783	1843	1683
784	1846	1681
785	1848	1679
786	1850	1676
787	1852	1674
788	1855	1671
789	1857	1669
790	1859	1666
791	1862	1664
792	1864	1662
793	1867	1660
794	1869	1657
795	1871	1655
796	1873	1652
797	1876	1650
798	1878	1648
799	1881	1645
800	1883	1643
801	1885	1640
802	1887	1638
803	1890	1636
804	1892	1633
805	1894	1631
806	1897	1629
807	1899	1626
808	1901	1624
809	1903	1621
810	1906	1619
811	1908	1617
812	1911	1614
813	1913	1612
814	1915	1610
815	1918	1608
816	1920	1605
817	1923	1603
818	1925	1601
819	1927	1598
820	1929	1596
821	1932	1593
822	1934	1591
823	1936	1589
824	1939	1586
825	1941	1584
826	1943	1581
827	1946	1579
828	1948	1577
829	1950	1574
830	1953	1572
831	1955	1570
832	1957	1567
833	1960	1565
834	1962	1563
835	1964	1560
836	1967	1558
837	1969	1555
838	1971	1553
839	1974	1551
840	1976	1548
841	1978	1546
842	1981	1543
843	1983	1541
844	1985	1539
845	1987	1536
846	1990	1534
847	1992	1532
848	1994	1529
849	1997	1527
850	1999	1525
851	2002	1522
852	2004	1520
853	2006	1518
854	2009	1515
855	2011	1513
856	2013	1510
857	2016	1508
858	2018	1506
859	2020	1503
860	2022	1501
861	2024	1498
862	2027	1496
863	2029	1493
864	2031	1491
865	2033	1489
866	2036	1486
867	2038	1484
868	2040	1481
869	2043	1479
870	2045	1477
871	2047	1474
872	2049	1472
873	2051	1469
874	2053	1467
875	2056	1464
876	2058	1462
877	2060	1459
878	2062	1457
879	2065	1454
880	2067	1452
881	2069	1449
882	2071	1447
883	2074	1445
884	2076	1442
885	2078	1440
886	2080	1437
887	2082	1435
888	2085	1433
889	2087	1430
890	2089	1428
891	2091	1425
892	2094	1423
893	2096	1420
894	2098	1418
895	2100	1415
896	2102	1413
897	2104	1410
898	2107	1408
899	2109	1406
900	2111	1403
901	2113	1401
902	2116	1399
903	2118	1396
904	2121	1394
905	2123	1392
906	2126	1389
907	2128	1387
908	2130	1385
909	2133	1383
910	2135	1380
911	2137	1378
912	2140	1376
913	2143	1374
914	2145	1371
915	2148	1369
916	2150	1367
917	2153	1365
918	2155	1362
919	2158	1360
920	2160	1358
921	2162	1355
922	2164	1353
923	2167	1350
924	2169	1348
925	2171	1345
926	2173	1343
927	2175	1341
928	2178	1338
929	2180	1336
930	2182	1333
931	2184	1331
932	2186	1328
933	2189	1326
934	2191	1324
935	2194	1322
936	2196	1319
937	2198	1317
938	2200	1314
939	2203	1312
940	2205	1310
941	2207	1307
942	2209	1305
943	2211	1302
944	2214	1300
945	2216	1298
946	2219	1295
947	2221	1293
948	2223	1290
949	2225	1288
950	2228	1286
951	2230	1283
952	2232	1281
953	2234	1278
954	2236	1276
955	2239	1274
956	2241	1271
957	2243	1269
958	2245	1267
959	2248	1264
960	2250	1262
961	2252	1259
962	2254	1257
963	2257	1254
964	2259	1252
965	2261	1250
966	2264	1247
967	2266	1245
968	2268	1243
969	2271	1240
970	2273	1238
971	2275	1236
972	2277	1233
973	2280	1231
974	2282	1228
975	2284	1226
976	2286	1224
977	2289	1221
978	2291	1219
979	2293	1216
980	2295	1214
981	2297	1212
982	2300	1209
983	2302	1207
984	2304	1204
985	2306	1202
986	2308	1199
987	2310	1197
988	2313	1195
989	2315	1192
990	2317	1190
991	2319	1187
992	2322	1185
993	2324	1183
994	2326	1180
995	2329	1178
996	2331	1176
997	2333	1173
998	2335	1171
999	2338	1169
1000	2340	1166
1001	2342	1164
1002	2345	1162
1003	2347	1159
1004	2349	1157
1005	2352	1155
1006	2354	1152
1007	2357	1150
1008	2359	1148
1009	2361	1145
1010	2364	1143
1011	2366	1141
1012	2369	1139
1013	2371	1136
1014	2374	1134
1015	2376	1132
1016	2379	1130
1017	2381	1127
1018	2384	1125
1019	2387	1123
1020	2389	1121
1021	2391	1118
1022	2394	1116
1023	2396	1114
1024	2398	1111
1025	2401	1109
1026	2403	1106
1027	2405	1104
1028	2407	1102
1029	2410	1099
1030	2412	1097
1031	2414	1095
1032	2416	1092
1033	2418	1090
1034	2421	1087
1035	2423	1085
